*
中国IPTV,#genre#
湖南经视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000002000000113182/main.m3u8
湖南经视,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000002000000113182/main.m3u8
湖南都市,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000007000000001249/main.m3u8
湖南都市,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000007000000001249/main.m3u8
湖南电视剧,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000007000000001245/main.m3u8
湖南电视剧,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000007000000001245/main.m3u8
湖南电影,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000007000000001246/main.m3u8
湖南电影,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000007000000001246/main.m3u8
湖南娱乐,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000007000000001248/main.m3u8
湖南娱乐,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000007000000001248/main.m3u8
金鹰纪实,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000016000000007228/main.m3u8
金鹰纪实,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000016000000007228/main.m3u8
湖南爱晚,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000008000000047425/main.m3u8
湖南爱晚,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047425/main.m3u8
湖南国际,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047426/main.m3u8
湖南国际,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000008000000047426/main.m3u8
金鹰卡通,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000007000000001247/main.m3u8
金鹰卡通,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000007000000001247/main.m3u8
湖南教育,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000023000000196697/main.m3u8
湖南教育,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000023000000196697/main.m3u8
茶频道,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000025000000316196/main.m3u8
茶频道,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000025000000316196/main.m3u8
长沙新闻,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047429/main.m3u8
长沙新闻,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000008000000047429/main.m3u8
长沙政法,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000008000000047430/main.m3u8
长沙政法,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000000000000020000000000182540/main.m3u8
长沙政法,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047430/main.m3u8
长沙政法,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000000000000020000000000182540/main.m3u8
岳阳公共,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000015000000071035/main.m3u8
岳阳公共,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001001/00000001000000000015000000071035/main.m3u8
岳阳公共,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000015000000071035/main.m3u8
岳阳综合,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000015000000071030/main.m3u8
岳阳综合,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001001/00000001000000000015000000071030/main.m3u8
岳阳综合,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000015000000071030/main.m3u8
岳阳综合,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000015000000071030/main.m3u8
常德新闻综合,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000014000000153736/main.m3u8
常德新闻综合,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000014000000153736/main.m3u8
湘潭新闻综合,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047451/main.m3u8
湘潭新闻综合,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000008000000047451/main.m3u8
株州新闻综合,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047450/main.m3u8
株州新闻综合,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000008000000047450/main.m3u8
郴州综合,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000031000000253555/main.m3u8
郴州综合,http://100.127.88.4:80/180000001001/00000001000000001023000000052251/main.m3u8
郴州综合,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000031000000253555/main.m3u8
湘西综合,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000016000000007222/main.m3u8
湘西综合,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000016000000007222/main.m3u8
怀化综合,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000016000000287147/main.m3u8
怀化综合,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000016000000287147/main.m3u8
宁乡电视,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000088000000189333/main.m3u8
宁乡电视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000088000000189333/main.m3u8



张家界综合,http://175.10.73.25:4022/udp/239.76.245.234:1234
张家界综合,http://175.10.73.25:4022/udp/239.76.252.234:9000
张家界综合,http://118.254.156.78:8888/udp/239.76.245.234:1234
张家界综合,http://118.254.156.78:8888/udp/239.76.252.234:9000
张家界公共,http://175.10.73.25:4022/udp/239.76.245.235:1234
张家界公共,http://175.10.73.25:4022/udp/239.76.252.235:9000
张家界公共,http://118.254.156.78:8888/udp/239.76.245.235:1234
张家界公共,http://118.254.156.78:8888/udp/239.76.252.235:9000
湘潭综合,http://175.10.73.25:4022/udp/239.76.248.1:1234
湘潭综合,http://118.254.156.78:8888/udp/239.76.248.1:1234
株洲新闻,http://175.10.73.25:4022/udp/239.76.248.4:1234
株洲新闻,http://118.254.156.78:8888/udp/239.76.248.4:1234
浏阳新闻,http://175.10.73.25:4022/udp/239.76.248.6:1234
浏阳新闻,http://118.254.156.78:8888/udp/239.76.248.6:1234
岳阳综合,http://175.10.73.25:4022/udp/239.76.248.7:1234
岳阳综合,http://118.254.156.78:8888/udp/239.76.248.7:1234
岳阳公共,http://175.10.73.25:4022/udp/239.76.248.8:1234
岳阳公共,http://118.254.156.78:8888/udp/239.76.248.8:1234
常德综合,http://175.10.73.25:4022/udp/239.76.248.10:1234
常德综合,http://118.254.156.78:8888/udp/239.76.248.10:1234
常德公共,http://118.254.156.78:8888/udp/239.76.248.11:1234
常德公共,http://175.10.73.25:4022/udp/239.76.248.11:1234
长沙综合,http://175.10.73.25:4022/udp/239.76.248.12:1234
长沙综合,http://118.254.156.78:8888/udp/239.76.248.12:1234
衡阳综合,http://175.10.73.25:4022/udp/239.76.248.13:1234
衡阳综合,http://118.254.156.78:8888/udp/239.76.248.13:1234
衡阳公共,http://118.254.156.78:8888/udp/239.76.248.14:1234
衡阳公共,http://175.10.73.25:4022/udp/239.76.248.14:1234
益阳综合,http://175.10.73.25:4022/udp/239.76.248.15:1234
益阳综合,http://118.254.156.78:8888/udp/239.76.248.15:1234
益阳公共,http://118.254.156.78:8888/udp/239.76.248.16:1234
益阳公共,http://175.10.73.25:4022/udp/239.76.248.16:1234
益阳教育,http://118.254.156.78:8888/udp/239.76.248.17:1234
益阳教育,http://175.10.73.25:4022/udp/239.76.248.17:1234
娄底综合,http://175.10.73.25:4022/udp/239.76.248.18:1234
娄底综合,http://118.254.156.78:8888/udp/239.76.248.18:1234
娄底公共,http://118.254.156.78:8888/udp/239.76.248.19:1234
娄底公共,http://175.10.73.25:4022/udp/239.76.248.19:1234
LEDTV,http://175.10.73.25:4022/udp/239.76.248.20:1234
LEDTV,http://118.254.156.78:8888/udp/239.76.248.20:1234
XNXTV,http://118.254.156.78:8888/udp/239.76.248.21:1234
XNXTV,http://175.10.73.25:4022/udp/239.76.248.21:1234
邵阳公共,http://175.10.73.25:4022/udp/239.76.248.22:1234
邵阳公共,http://118.254.156.78:8888/udp/239.76.248.22:1234
永州新闻,http://118.254.156.78:8888/udp/239.76.248.23:1234
永州新闻,http://175.10.73.25:4022/udp/239.76.248.23:1234
永州公共,http://175.10.73.25:4022/udp/239.76.248.24:1234
永州公共,http://118.254.156.78:8888/udp/239.76.248.24:1234
溆浦综合,http://118.254.156.78:8888/udp/239.76.248.25:1234
溆浦综合,http://175.10.73.25:4022/udp/239.76.248.25:1234
衡阳县电视,http://175.10.73.25:4022/udp/239.76.248.26:1234
衡阳县电视,http://118.254.156.78:8888/udp/239.76.248.26:1234
茶陵县电视,http://118.254.156.78:8888/udp/239.76.248.27:1234
茶陵县电视,http://175.10.73.25:4022/udp/239.76.248.27:1234
道县电视台,http://175.10.73.25:4022/udp/239.76.248.28:1234
道县电视台,http://118.254.156.78:8888/udp/239.76.248.28:1234
武钢综合,http://118.254.156.78:8888/udp/239.76.248.29:1234
武钢综合,http://175.10.73.25:4022/udp/239.76.248.29:1234
津市电视台,http://175.10.73.25:4022/udp/239.76.248.30:1234
津市电视台,http://118.254.156.78:8888/udp/239.76.248.30:1234
新华电视台,http://118.254.156.78:8888/udp/239.76.248.31:1234
新华电视台,http://175.10.73.25:4022/udp/239.76.248.31:1234
新闻综合,http://175.10.73.25:4022/udp/239.76.248.32:1234
新闻综合,http://118.254.156.78:8888/udp/239.76.248.32:1234
新闻综合,http://118.254.156.78:8888/udp/239.76.248.33:1234
新闻综合,http://175.10.73.25:4022/udp/239.76.248.33:1234
综合频道,http://175.10.73.25:4022/udp/239.76.248.34:1234
综合频道,http://118.254.156.78:8888/udp/239.76.248.34:1234
新闻,http://118.254.156.78:8888/udp/239.76.248.35:1234
新闻,http://175.10.73.25:4022/udp/239.76.248.35:1234
桃源综合,http://175.10.73.25:4022/udp/239.76.248.36:1234
桃源综合,http://118.254.156.78:8888/udp/239.76.248.36:1234
新闻频道,http://118.254.156.78:8888/udp/239.76.248.37:1234
新闻频道,http://175.10.73.25:4022/udp/239.76.248.37:1234
蓝山综合,http://175.10.73.25:4022/udp/239.76.248.38:1234
蓝山综合,http://118.254.156.78:8888/udp/239.76.248.38:1234
郴州公共,http://118.254.156.78:8888/udp/239.76.248.39:1234
郴州公共,http://175.10.73.25:4022/udp/239.76.248.39:1234
新闻综合,http://175.10.73.25:4022/udp/239.76.248.40:1234
新闻综合,http://118.254.156.78:8888/udp/239.76.248.40:1234
湘潭县台,http://118.254.156.78:8888/udp/239.76.248.41:1234
湘潭县台,http://175.10.73.25:4022/udp/239.76.248.41:1234
长沙文旅,http://175.10.73.25:4022/udp/239.76.248.42:1234
长沙文旅,http://118.254.156.78:8888/udp/239.76.248.42:1234
中方台,http://118.254.156.78:8888/udp/239.76.248.43:1234
中方台,http://175.10.73.25:4022/udp/239.76.248.43:1234
新田综合,http://175.10.73.25:4022/udp/239.76.248.44:1234
新田综合,http://118.254.156.78:8888/udp/239.76.248.44:1234
麻阳综合,http://118.254.156.78:8888/udp/239.76.248.45:1234
麻阳综合,http://175.10.73.25:4022/udp/239.76.248.45:1234
宁乡新闻,http://175.10.73.25:4022/udp/239.76.248.57:1234
宁乡新闻,http://118.254.156.78:8888/udp/239.76.248.57:1234
怀化综合,http://118.254.156.78:8888/udp/239.76.255.12:9000
怀化综合,http://175.10.73.25:4022/udp/239.76.255.12:9000
湘西综合,http://175.10.73.25:4022/udp/239.76.252.208:9000
湘西综合,http://118.254.156.78:8888/udp/239.76.252.208:9000
湘西公共,http://118.254.156.78:8888/udp/239.76.252.209:9000
湘西公共,http://175.10.73.25:4022/udp/239.76.252.209:9000
湘西公共,http://175.10.73.25:4022/udp/239.76.252.210:9000
湘西公共,http://118.254.156.78:8888/udp/239.76.252.210:9000
长沙女性,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000000000000020000000000182541/main.m3u8
长沙女性,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000000000000020000000000182541/main.m3u8
长沙影视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000000000000020000000000182542/main.m3u8
长沙影视,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000000000000020000000000182542/main.m3u8





CCTV1,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000007000000001243/main.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226006/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226003/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226004/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226001/index.m3u8
CCTV1,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000007000000001243/main.m3u8
CCTV2,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047431/main.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV2,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000008000000047431/main.m3u8
CCTV3,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000008000000047432/main.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV3,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047432/main.m3u8
CCTV4,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000008000000047433/main.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV4,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047433/main.m3u8
CCTV5,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000008000000047434/main.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047434/main.m3u8
CCTV5+,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000008000000047442/main.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV5+,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047442/main.m3u8
CCTV6,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000008000000047435/main.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV6,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047435/main.m3u8
CCTV7,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000008000000047436/main.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV7,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047436/main.m3u8
CCTV8,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047437/main.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV8,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000008000000047437/main.m3u8
CCTV9,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000008000000047438/main.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV9,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047438/main.m3u8
CCTV10,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047439/main.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV10,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000008000000047439/main.m3u8
CCTV11,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000026000000446966/main.m3u8
CCTV11 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV11,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000026000000446966/main.m3u8
CCTV12,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047440/main.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV12,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000008000000047440/main.m3u8
CCTV13,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000050000000133801/main.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV13,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000050000000133801/main.m3u8
CCTV14,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047441/main.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV14,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000008000000047441/main.m3u8
CCTV15,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000026000000446967/main.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV15,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000026000000446967/main.m3u8
CCTV16,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000079000000434986/main.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV16,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000079000000434986/main.m3u8
CCTV16 4K,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000085000000178450/index.m3u8
CCTV16 4K,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001001/00000001000000000085000000178450/index.m3u8
CCTV17,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/180000001002/00000001000000000025000000024152/main.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV17,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000025000000024152/main.m3u8
